year,region,e,Omega_agg,Omega_pw,Y_ratio_agg,Y_ratio_pw,alpha_core,alpha_per,sigma,K_core,K_per,L_core,L_per
1995,China,.1697288151339159,13.21353178213282,26.57810786276569,7.327266687271673,14.73829159111632,.6113211597875764,.5672770142555237,.7623367176702639,112718429.2734375,8530530,341.7915108650923,687.4900512695313
1995,East Europe,.1744360900633944,23.85008122758575,3.091754086698078,20.59562056582432,2.669869064379537,.6113211597875764,.5651782572601484,1.633548945760144,112718429.2734375,4726123.49609375,341.7915108650923,44.30740886926651
1995,India,.2202141429282869,27.84861263291091,31.09947888060132,15.17417276623859,16.94550718539353,.6113211597875764,.6246997117996216,1.490557644231869,112718429.2734375,4047542,341.7915108650923,381.6900329589844
1995,Latin America,.05948462217832,12.73594234232887,3.537572527061626,9.885997930563219,2.745963646954886,.6113211597875764,.4721830222507162,1.701719173210737,112718429.2734375,8850419.25,341.7915108650923,94.93700790405273
1995,Other Asia,.148391107612867,23.20050849040686,7.434709009220759,11.62001096969798,3.723685637294522,.6113211597875764,.5469422616169216,1.196170743641446,112718429.2734375,4858446.5,341.7915108650923,109.5286521911621
1996,China,.1227204868368789,12.3074399344214,24.77636962986553,6.933520100744451,13.9580170829591,.6088848987957808,.5880314111709595,.7940727481481437,116781949.9140625,9488728,344.7222217470407,693.9676513671875
1996,East Europe,.1578906395464427,23.99198339515601,3.099217129625335,20.58652186266518,2.659309159452822,.6088848987957808,.573388776311321,1.510192066381071,116781949.9140625,4867540.4609375,344.7222217470407,44.53024983406067
1996,India,.2078575823039159,26.6374316529798,29.81718831739481,14.60072409187692,16.34363798617637,.6088848987957808,.6223158836364746,1.600241150294741,116781949.9140625,4384129.5,344.7222217470407,385.872314453125
1996,Latin America,.0457999871099801,12.67182545530745,3.487568437944167,9.11192184310198,2.507803721026354,.6088848987957808,.4658055152662581,1.665454395388225,116781949.9140625,9215874.25,344.7222217470407,94.87522888183594
1996,Other Asia,.1367073155320942,22.42207608610218,7.280339769022389,11.16256258895269,3.624430138782978,.6088848987957808,.5452982643943211,1.257020261945607,116781949.9140625,5208346.875,344.7222217470407,111.9296398162842
1997,China,.1128726134515811,11.23728927211643,22.55640781269672,6.719611981391708,13.48815577538368,.6094418235104448,.5879999995231628,.8119182064581724,118103157.3515625,10509933,349.5207708030939,701.5867309570313
1997,East Europe,.1658443354898318,24.51270171353608,3.138196284754876,21.16402668627457,2.709487950104009,.6094418235104448,.5724554207210105,1.404653236405007,118103157.3515625,4818039.18359375,349.5207708030939,44.74679279327393
1997,India,.2422269109453239,24.71824255933554,27.61101737491414,14.53759950339859,16.23893411978362,.6094418235104448,.6230644583702087,1.397239557717393,118103157.3515625,4777975.5,349.5207708030939,390.4251708984375
1997,Latin America,.0480538816912475,12.20090703225184,3.376329383165761,9.384851719588797,2.597048771352964,.6094418235104448,.4518051659429045,1.486389414745483,118103157.3515625,9679867,349.5207708030939,96.72209167480469
1997,Other Asia,.1519281043297874,20.94641149350173,6.802196075028556,11.14867346933216,3.620451309208399,.6094418235104448,.5474602759286822,1.145547777547457,118103157.3515625,5638348,349.5207708030939,113.5043497085571
1998,China,.0921586604253473,10.08244688350957,20.36896949487017,6.379243984703863,12.88760829846664,.6151136391553659,.5918399691581726,.8166673539535281,118568758.671875,11759919,351.0270739495754,709.1591796875
1998,East Europe,.1455471318265974,24.4429620587657,3.113660217167879,21.26573625564017,2.708930153750567,.6151136391553659,.5840569746458695,1.312579576544991,118568758.671875,4850834.296875,351.0270739495754,44.71549040079117
1998,India,.2437037139228734,22.54479509098918,25.3808205178377,13.84003575714869,15.5810448529224,.6151136391553659,.6099025011062622,1.394519716369567,118568758.671875,5259252,351.0270739495754,395.1845703125
