year,region,e,Omega_agg,Omega_pw,Y_ratio_agg,Y_ratio_pw,alpha_core,alpha_per,sigma,K_core,K_per,L_core,L_per
2000,China,0.0744665666268125,8.576112650778144,16.89966291787902,5.865768449925262,11.55879284643868,0.6208783177432439,0.5906602144241333,0.8929308085703975,123583884.4453125,14410245.0,367.2926338911057,723.7686767578125
2001,China,0.0645273050542637,7.80016736950172,15.47768075653339,5.401492117920806,10.71804829944953,0.6223543078276605,0.5872491598129272,0.8151688234671272,125061791.671875,16033219.0,368.4020904898643,731.01123046875
2002,China,0.0724290020628837,7.028915364531846,14.06630237509154,4.997748641161397,10.00152085142674,0.6151482909233269,0.6030735373497009,0.77919582727203,126207900.6953125,17955530.0,368.2600097060204,736.9638671875
2003,China,0.0932248965640344,6.398860746795423,12.86361631211787,4.600693581477149,9.248764638515352,0.6090156200990026,0.5981816649436951,0.7382696032518336,129945952.421875,20307670.0,368.9213351011276,741.6417846679688
2004,China,0.0936978522865034,5.88012673375081,11.80171498795403,4.282038885430697,8.594270970917316,0.6032121863483825,0.5762236714363098,0.7373934034074189,135211479.71875,22994654.0,371.979851692915,746.5825805664062
2005,China,0.1093666352207052,5.423116730087696,10.84395679761471,3.854984014070412,7.708349678727811,0.5963473672973242,0.5697486996650696,0.8019466754669009,141222211.375,26040784.0,375.7349655032158,751.3121948242188
2006,China,0.0935756568116322,5.01745153825966,9.952691110931324,3.687947131823587,7.315466498599544,0.595689360018901,0.5618306994438171,0.7576575500163453,149514958.109375,29798984.0,380.891273021698,755.5415649414062
2007,China,0.0831284583379963,4.547574335843696,8.961193489585215,3.455120248247791,6.808465082206924,0.5929593889079601,0.5627607703208923,0.7064916470679021,156808857.96875,34481868.0,385.4156455397606,759.4783325195312
2008,China,0.0575016061821735,4.084779016721596,8.050443453817683,3.225005372749742,6.355967675435586,0.5948022058779204,0.5648537874221802,0.6423033879633956,164186091.34375,40194608.0,387.2243988513947,763.1571044921875
2009,China,0.0396939589615853,3.537628220406084,7.140517317700662,2.892786444306747,5.838937959289273,0.5985374839155106,0.5644687414169312,0.5022098765416786,168617582.25,47664020.0,379.9823858439922,766.9745483398438
2010,China,0.0397551062795859,3.115601743982448,6.319576608939826,2.689381269509874,5.455046042435146,0.5895589083513,0.5584130883216858,0.5054303359944289,174023293.8125,55855436.0,380.2044557631016,771.1932983398438
